,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,trans-fat_100g,cholesterol_100g,calcium_100g,iron_100g,potassium_100g,vitamin-c_100g,vitamin-a_100g,additives_n,ingredients_from_palm_oil_n,ingredients_that_may_be_from_palm_oil_n,ingredients_count
energy_100g,1.0,0.7888,0.5248,0.7103,0.3266,0.4543,0.4655,0.2595,0.2595,0.0235,0.0255,0.1407,0.3292,0.4105,0.0211,0.0444,0.0165,0.0195,-0.0017,0.1618
fat_100g,0.7888,1.0,0.6692,0.1695,0.0102,0.274,0.3831,0.1509,0.1509,0.0222,0.1498,0.0905,0.0364,0.3579,-0.0487,-0.0267,-0.079,0.0088,0.0007,0.0391
saturated-fat_100g,0.5248,0.6692,1.0,0.105,0.1525,0.0841,0.2362,0.0768,0.0768,0.0262,0.3895,0.1268,-0.0429,0.1224,-0.0496,-0.0144,0.0777,0.0101,0.0872,0.124
carbohydrates_100g,0.7103,0.1695,0.105,1.0,0.5739,0.4114,0.1129,0.2068,0.2068,0.0137,-0.2041,0.0567,0.4785,0.2331,0.081,0.0825,0.1201,0.0236,-0.0066,0.2127
sugars_100g,0.3266,0.0102,0.1525,0.5739,1.0,0.055,-0.0973,-0.0548,-0.0548,-0.0053,-0.0767,0.0641,0.1841,-0.006,0.0918,0.0473,0.1324,0.0215,0.0545,0.1393
fiber_100g,0.4543,0.274,0.0841,0.4114,0.055,1.0,0.4487,0.0429,0.0429,-0.0036,-0.1903,0.1497,0.3121,0.391,0.0784,0.1004,-0.1206,-0.0057,-0.0491,-0.0203
proteins_100g,0.4655,0.3831,0.2362,0.1129,-0.0973,0.4487,1.0,0.1679,0.1679,0.0015,0.2179,0.3282,0.1935,0.2766,0.0311,0.0754,-0.042,-0.0012,-0.0007,0.0611
salt_100g,0.2595,0.1509,0.0768,0.2068,-0.0548,0.0429,0.1679,1.0,1.0,0.0113,0.0796,0.0357,0.1221,0.17,0.0052,0.0553,0.0934,0.0031,-0.0101,0.1777
sodium_100g,0.2595,0.1509,0.0768,0.2068,-0.0548,0.0429,0.1679,1.0,1.0,0.0113,0.0796,0.0357,0.1221,0.1699,0.0052,0.0553,0.0934,0.0031,-0.0101,0.1777
trans-fat_100g,0.0235,0.0222,0.0262,0.0137,-0.0053,-0.0036,0.0015,0.0113,0.0113,1.0,0.0188,-0.0079,-0.0028,0.0088,-0.0063,-0.0048,-0.0011,0.0013,0.009,-0.0066
cholesterol_100g,0.0255,0.1498,0.3895,-0.2041,-0.0767,-0.1903,0.2179,0.0796,0.0796,0.0188,1.0,0.1341,-0.1081,-0.0953,-0.0694,-0.0223,0.094,-0.006,0.0983,0.0725
calcium_100g,0.1407,0.0905,0.1268,0.0567,0.0641,0.1497,0.3282,0.0357,0.0357,-0.0079,0.1341,1.0,0.1925,0.0555,0.1199,0.1556,0.1526,-0.0037,0.0753,0.1335
iron_100g,0.3292,0.0364,-0.0429,0.4785,0.1841,0.3121,0.1935,0.1221,0.1221,-0.0028,-0.1081,0.1925,1.0,0.1042,0.1233,0.2146,0.0892,-0.0017,-0.0202,0.161
potassium_100g,0.4105,0.3579,0.1224,0.2331,-0.006,0.391,0.2766,0.17,0.1699,0.0088,-0.0953,0.0555,0.1042,1.0,0.145,0.1858,-0.1561,0.0237,-0.0391,-0.0933
vitamin-c_100g,0.0211,-0.0487,-0.0496,0.081,0.0918,0.0784,0.0311,0.0052,0.0052,-0.0063,-0.0694,0.1199,0.1233,0.145,1.0,0.3809,-0.0024,-0.0036,0.0334,0.005
vitamin-a_100g,0.0444,-0.0267,-0.0144,0.0825,0.0473,0.1004,0.0754,0.0553,0.0553,-0.0048,-0.0223,0.1556,0.2146,0.1858,0.3809,1.0,-0.008,-0.0042,0.021,0.0349
additives_n,0.0165,-0.079,0.0777,0.1201,0.1324,-0.1206,-0.042,0.0934,0.0934,-0.0011,0.094,0.1526,0.0892,-0.1561,-0.0024,-0.008,1.0,0.0143,0.3075,0.7467
ingredients_from_palm_oil_n,0.0195,0.0088,0.0101,0.0236,0.0215,-0.0057,-0.0012,0.0031,0.0031,0.0013,-0.006,-0.0037,-0.0017,0.0237,-0.0036,-0.0042,0.0143,1.0,-0.0031,0.0135
ingredients_that_may_be_from_palm_oil_n,-0.0017,0.0007,0.0872,-0.0066,0.0545,-0.0491,-0.0007,-0.0101,-0.0101,0.009,0.0983,0.0753,-0.0202,-0.0391,0.0334,0.021,0.3075,-0.0031,1.0,0.2596
ingredients_count,0.1618,0.0391,0.124,0.2127,0.1393,-0.0203,0.0611,0.1777,0.1777,-0.0066,0.0725,0.1335,0.161,-0.0933,0.005,0.0349,0.7467,0.0135,0.2596,1.0
