,zero_count,zero_percentage
ingredients_from_palm_oil_n,14066,99.97
trans-fat_100g,13973,99.31
ingredients_that_may_be_from_palm_oil_n,13613,96.75
cholesterol_100g,9669,68.72
vitamin-c_100g,7944,56.46
vitamin-a_100g,7323,52.05
saturated-fat_100g,6543,46.5
additives_n,4725,33.58
calcium_100g,4115,29.25
iron_100g,3869,27.5
fiber_100g,3802,27.02
fat_100g,3792,26.95
sugars_100g,1596,11.34
proteins_100g,1412,10.04
sodium_100g,1082,7.69
salt_100g,1082,7.69
potassium_100g,367,2.61
carbohydrates_100g,269,1.91
energy_100g,0,0.0
ingredients_count,0,0.0
