energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,trans-fat_100g,cholesterol_100g,calcium_100g,iron_100g,potassium_100g,vitamin-c_100g,vitamin-a_100g,additives_n,ingredients_from_palm_oil_n,ingredients_that_may_be_from_palm_oil_n,ingredients_count,nutrition_grade_fr
1090.0,10.7,2.0,38.7,24.7,2.0,3.33,0.647,0.255,0.667,0.00533,0.0133,0.00048,0.0,0.0016,0.0,5.0,0.0,0.0,19,c
478.0,6.79,2.86,7.86,0.714,0.357,5.36,0.499,0.196,0.0,0.0107,0.0286,0.000643,0.0,0.000429,1.07e-05,3.0,0.0,0.0,7,b
2243.0,32.14,3.57,57.14,0.0,3.6,7.14,0.9525,0.375,0.0,0.0,0.0,0.00129,1.536,0.0214,0.0,0.0,0.0,0.0,3,c
192.0,0.0,0.0,11.67,10.42,0.0,0.0,0.0381,0.015,0.0,0.0,0.0,0.00015,0.079,0.0,0.0,0.0,0.0,0.0,3,b
226.0,0.0,0.0,13.33,13.33,0.0,0.0,0.01016,0.004,0.0,0.0,0.0,0.0,0.015,0.0005,0.0,0.0,0.0,0.0,3,b
192.0,0.0,0.0,11.25,10.0,0.4,0.0,0.0254,0.01,0.0,0.0,0.008,0.00015,0.075,0.0,0.0,0.0,0.0,0.0,2,b
192.0,0.0,0.0,11.67,8.33,0.0,0.42,0.01524,0.006,0.0,0.0,0.0,0.0,0.092,0.001,0.0,0.0,0.0,0.0,2,b
192.0,0.0,0.0,11.67,10.42,0.0,0.0,0.04318,0.017,0.0,0.0,0.0,0.0,0.071,0.0038,0.0,0.0,0.0,0.0,1,b
1046.0,0.0,0.0,60.0,30.0,7.5,2.5,0.03048,0.012,0.0,0.0,0.05,0.0009,0.725,0.0,0.0003,0.0,0.0,0.0,1,c
2485.0,50.0,7.81,21.88,3.12,9.4,21.88,0.0,0.0,0.0,0.0,0.062,0.00225,0.656,0.0,0.0,0.0,0.0,0.0,1,c
2485.0,50.0,6.25,21.88,3.12,6.2,21.88,1.11252,0.438,0.0,0.0,0.062,0.00225,0.656,0.0,0.0,0.0,0.0,0.0,2,d
201.0,1.2,0.0,7.2,5.6,1.6,1.6,0.4064,0.16,0.0,0.0,0.0,0.00029,0.128,0.0029,0.0,0.0,0.0,0.0,3,b
1569.0,12.5,0.0,41.67,25.0,8.3,33.33,1.905,0.75,0.0,0.0,0.0,0.003,1.25,0.0,0.0,0.0,0.0,0.0,3,d
226.0,1.04,0.0,10.0,7.92,0.8,1.67,0.12192,0.048,0.0,0.0,0.146,0.00075,0.05,0.0,6.24e-05,3.0,0.0,0.0,9,a
234.0,0.0,0.0,13.11,9.78,0.0,0.44,0.00508,0.002,0.0,0.0,0.009,0.00016,0.193,0.008,0.0,0.0,0.0,0.0,5,b
268.0,0.0,0.0,15.11,12.67,0.0,0.44,0.01016,0.004,0.0,0.0,0.009,0.00016,0.144,0.0027,0.0007668,1.0,0.0,1.0,7,b
297.0,2.0,0.22,13.11,10.67,1.3,0.89,0.01778,0.007,0.0,0.0,0.009,0.0006,0.173,0.0033,0.0,0.0,0.0,0.0,10,b
1770.0,11.54,1.92,69.23,23.08,19.2,7.69,1.17348,0.462,0.0,0.019,0.769,0.02077,1.0,0.1038,0.0008655,14.0,0.0,0.0,43,d
1611.0,7.69,4.81,57.69,23.08,13.5,19.23,0.58674,0.231,0.0,0.01,0.385,0.00208,0.365,0.0231,0.0005769,2.0,0.0,0.0,16,c
1611.0,7.69,4.81,57.69,21.15,17.3,19.23,0.9779,0.385,0.0,0.0,0.385,0.00519,0.519,0.0231,0.0005769,1.0,0.0,0.0,13,d
268.0,2.03,0.68,8.14,6.1,1.7,3.39,0.18034,0.071,0.0,0.003,0.169,0.00092,0.203,0.0203,0.0001779,5.0,0.0,0.0,13,a
268.0,2.03,0.68,8.47,6.1,1.7,3.39,0.18034,0.071,0.0,0.003,0.169,0.00092,0.203,0.0203,0.0001779,3.0,0.0,0.0,15,a
